DATOS SECTORIALES EN EL SISTEMA SISSH,,,,,
,,,,,
CONFLICTO,,,,,
PIB Per C_pita,Recuperaci_n temprana,DANE,1990-2008,Departamental,EL PIB Per C_pita es el promedio de Producto Interno Bruto por cada habitante del pa_s. Es resultado de la divisi_n entre el PIB y el total de la poblaci_n. El valor del PIB tomado est_ a precios constantes del a_o 2005.
Total Unidades Econ_micas,Recuperaci_n temprana,DANE,2005,Municipal,"Las Unidades Econ_micas se entienden como un espacio independiente y separado que constituye parte, o la totalidad de una edificaci_n cuyo uso est_ destinado a la industria, comercio o servicios."
Unidades Agropecuarias,Recuperaci_n temprana,DANE,2005,Municipal,"Se refiere a la tierra donde se ubica la vivienda rural con hogares o personas residentes habituales y adem_s ocupada por cultivos agr_colas; transitorios o permanentes, cultivos forestales, forrajes o pastos, malezas y rastrojos, animales de crianza como bovinos, equinos, porcinos, cabras, ovejas, asnos, aves de corral, cultivo de peces y camarones, que pertenecen a una unidad f_sica y geogr_fica mayor denominada FINCA."
,,,,,
EDUCACI_N,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
A_os promedio de educaci_n (15 y 24 a_os),Educaci_n,Ministerio de Educaci_n,2005-2010,Departamental,"Indica el n_mero de a_os promedio de educaci_n cursados por los habitantes de cada departamento, entre edades de 15 y 24 a_os."
Instituciones Educativas,Educaci_n,Ministerio de Educaci_n,2006,Municipal,"Es un conjunto de personas y bienes promovida por las autoridades p_blicas o por particulares, cuya finalidad ser_ prestar un a_o de educaci_n preescolar y nueve grados de educaci_n b_sica como m_nimo y la media."
Instituciones Educativas - No Oficiales-,Educaci_n,Ministerio de Educaci_n,2006,Municipal,Es un conjunto de personas y bienes promovida por las autoridades p_blicas cuya finalidad ser_ prestar un a_o de educaci_n preescolar y nueve grados de educaci_n b_sica como m_nimo y la media.
Instituciones Educativas -Oficiales-,Educaci_n,Ministerio de Educaci_n,2006,Municipal,Es un conjunto de personas y bienes promovida por los entes privados cuya finalidad ser_ prestar un a_o de educaci_n preescolar y nueve grados de educaci_n b_sica como m_nimo y la media.
N_mero de Estudiantes Matriculados en Educaci_n Media - S. Oficial-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,"N_mero de estudiantes matriculados en los grados d_cimo y und_cimo de instituciones oficiales. La Educaci_n media constituye la culminaci_n, consolidaci_n y avance en el logro de los niveles anteriores. Tiene como fin la comprensi_n de ideas y los valores universales y la preparaci_n para el ingreso del educando a la educaci_n superior y al trabajo. (Ley 115. Art. 27)"
N_mero de Estudiantes Matriculados en Educaci_n Media - S. Privado-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,"N_mero de estudiantes matriculados en los grados d_cimo y und_cimo de instituciones de caracter privado. La Educaci_n media constituye la culminaci_n, consolidaci_n y avance en el logro de los niveles anteriores. Tiene como fin la comprensi_n de ideas y los valores universales y la preparaci_n para el ingreso del educando a la educaci_n superior y al trabajo. (Ley 115. Art. 27)"
N_mero de Estudiantes Matriculados en Prejard_n y Jard_n - S. Oficial-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,"N_mero de estudiantes matriculados en los n_verles de prejard_n y Jard_n en una instituci_n oficial. Corresponde a la ofrecida al ni_o menor de seis (6) a_os, para su desarrollo integral en los aspectos biol_gico, cognoscitivo, sicomotriz, socio-afectivo y espiritual, a trav_s de experiencias de socializaci_n pedag_gicas y recreativas. (Ley 115. Art. 15)."
N_mero de Estudiantes Matriculados en Prejard_n y Jard_n - S. Privado-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,"N_mero de estudiantes matriculados en los n_verles de prejard_n y Jard_n en una instituci_nde caracter privado. Corresponde a la ofrecida al ni_o menor de seis (6) a_os, para su desarrollo integral en los aspectos biol_gico, cognoscitivo, sicomotriz, socio-afectivo y espiritual, a trav_s de experiencias de socializaci_n pedag_gicas y recreativas. (Ley 115. Art. 15)."
N_mero de Estudiantes Matriculados en Primaria - S. Oficial-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,N_mero de estudiantes matriculados en una instituci_n oficial en alguno de los cinco (5) primeros grados de la educaci_n b_sica. (Ley 115. Art. 21).
N_mero de Estudiantes Matriculados en Primaria - S. Privado-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,N_mero de estudiantes matriculados en una instituci_n de car_cter privado en alguno de los cinco (5) primeros grados de la educaci_n b_sica. (Ley 115. Art. 21).
N_mero de Estudiantes Matriculados en Secundaria - S. Oficial-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,N_mero de estudiantes matriculados en una instituci_n de car_cter privado en alguno de los cuatro (4) grados subsiguientes de la educaci_n b_sica. (Ley 115. Art. 22).
N_mero de Estudiantes Matriculados en Secundaria - S. Privado-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,N_mero de estudiantes matriculados en una instituci_n oficial en alguno de los cuatro (4) grados subsiguientes de la educaci_n b_sica. (Ley 115. Art. 22).
N_mero de Estudiantes Matriculados en Transici_n - S. Oficial-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,N_mero de estudiantes matriculados en el nivel de transici_n en una instituci_n oficial.
N_mero de Estudiantes Matriculados en Transici_n - S. Privado-,Educaci_n,Ministerio de Educaci_n,2004-2007,Municipal,N_mero de estudiantes matriculados en el nivel de transici_n en una instituci_n de car_cter privado.
N_mero de Instituciones de Educaci_n Superior,Educaci_n,Ministerio de Educaci_n,2000-2007,Departamental,"N_mero de instituciones de educaci_n superior. La educaci_n superior es un proceso permanente que posibilita el desarrollo de las potencialidades del ser humano de una manera integral, se realiza con posterioridad a la educaci_n media o secundaria y tiene por objeto el pleno desarrollo de los alumnos y su formaci_n acad_mica o profesional."
Promedio Alumnos por Docente,Educaci_n,Ministerio de Educaci_n,2004,Municipal,Relaci_n entre n_mero de alumnos y n_mero de docentes en una zona geogr_fica.
Tasa Alfabetismo,Educaci_n,DANE,2005,Municipal,Porcentaje de la poblaci_n entre los 3 y 17 a_os que sabe leer ni escribir.
Tasa de Analfabetismo,Educaci_n,DANE,2005,Municipal,Porcentaje de la poblaci_n entre los 3 y 17 a_os que no sabe leer ni escribir.
Tasa de Analfabetismo (15 a 24 a_os),Educaci_n,DANE,2005,Departamental,Porcentaje de la poblaci_n entre los 15 a 24 a_os que no sabe leer ni escribir.
Tasa de Cobertura bruta educaci_n media,Educaci_n,Ministerio de Educaci_n,2002-2011,Municipal,"Corresponde a la relaci_n porcentual entre los alumnos matriculados en un nivel de ense_anza espec_fico (independiente de la edad que tengan) y la poblaci_n escolar que tiene la edad apropiada para cursar dicho nivel. La tasa de cobertura bruta se calcula de la siguiente manera: TCB media = (Matriculados en educaci_n media/ Poblaci_n con edades entre 16 y 17 a_os) x 100 Es factible que en el c_lculo de este indicador se obtengan resultados de cobertura mayores a 100%, debido a que toda, o la mayor_a de la poblaci_n en esta edad se encuentra cubierta por el sistema educativo y adicionalmente se encuentran matriculados alumnos en extraedad."
Tasa de Cobertura Educaci_n,Educaci_n,Ministerio de Educaci_n,2002-2005,Departamental,Porcentaje de la totalidad de estudiantes matriculados en el sistema educativo.
Tasa de Docentes con Educaci_n Superior,Educaci_n,Ministerio de Educaci_n,2004,Municipal,Porcentaje de docentes que cuentan con estudios de educaci_n superior.
Tasa de Inasistencia Centro Educativo (Poblaci_n entre 3 y 17 a_os),Educaci_n,DANE,2005,Municipal,Porcentaje de personas con una edad entre los 3 y 17 a_os que asisten a una instituci_n educativa.
Tasa de Inasistencia Centro Educativo Poblaci_n de 12 a 15 A_os,Educaci_n,DANE,2005,Municipal,Porcentaje de personas con una edad entre los 12 y 15 a_os que asisten a una instituci_n educativa.
Tasa de Inasistencia Centro Educativo Poblaci_n de 16 a 17 A_os,Educaci_n,DANE,2005,Municipal,Porcentaje de personas con una edad entre los 16 y 17 a_os que asisten a una instituci_n educativa.
Tasa de Inasistencia Centro Educativo Poblaci_n de 3 a 4 a_os,Educaci_n,DANE,2005,Municipal,Porcentaje de personas con una edad entre los 3 y 4 a_os que asisten a una instituci_n educativa.
Tasa de Inasistencia Centro Educativo Poblaci_n de 5 a 6 A_os,Educaci_n,DANE,2005,Municipal,Porcentaje de personas con una edad entre los 5 y 6 a_os que asisten a una instituci_n educativa.
Tasa de Inasistencia Centro Educativo Poblaci_n de 7 a 11 A_os,Educaci_n,DANE,2005,Municipal,Porcentaje de personas con una edad entre los 7 y 11 a_os que asisten a una instituci_n educativa.
,,,,,
FECUNDIDAD,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Adolescentes en Embarazo,Salud,DANE,2005-2010,Departamental,Porcentaje de adolescentes (mujeres entre 15 a 19 a_os) que han estado embarazadas.
Nacimientos,Salud,DANE,1998-2008,Municipal,N_mero de nacimientos que se registraron en un periodo determinado
Tasa de Fecundidad Global,Salud,DANE,2005-2010,Departamental,Es el n_mero promedio de hijos que una mujer habr_a tenido al final de sus a_os reproductivos si la misma se hubiera ajustado a las tasas de fecundidad por edad espec_fica durante cada a_o de su vida reproductiva
Tasa de Natalidad,Salud,DANE,2005-2010,Departamental,Indica el n_mero de nacimientos vivos por cada 1.000 habitantes durante un a_o determinado
,,,,,
FINANZAS P_BLICAS TERRITORIALES,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Formaci_n Bruta de Capital Fijo,Recuperaci_n temprana,,2000-2008,Municipal,"Recursos utilizados en la creaci_n de activos productivos en la econom_a (infraestructura, v_as, acueductos)"
Gastos Corrientes,Recuperaci_n temprana,,2000-2008,Municipal,"Gastos en los que incurri_ la administraci_n territorial entre los que se encuentran los gastos de funcionamiento, servicios p_blicos, gastos generales, transferencias, intereses de la deuda, y otros gastos corrientes."
Gastos de Capital,Recuperaci_n temprana,,2000-2008,Municipal,"Su principal partida es la inversi_n, que corresponde a los recursos utilizados en la creaci_n de nuevos activos productivos en la econom_a. Tambi_n abaraca la compra de activos ya existentes, tales como edificios y terrenos. Los otros gastos de capital incluyen las transferencias de capital a otrs niveles para que realicen obras de inversi_n y otrso gastos no especificados."
Gastos de Funcionamiento,Recuperaci_n temprana,,2000-2008,Municipal,"Pagos en que incurri_ la administraci_n territorial para garantizar su normal funcionamiento. Se divide en servicios personales (factores que configuran salario como sueldos, primas, indemnizaciones , bonificaciones y subsidios, entre otros); transferencias de n_mina donde se debe diferenciar el aporte patronal de los pagos o cuotas que contribuyen los empleados de la entidad territorial (Caja patronal de los pagos o cuotas con que contribuyen los empleados de la entidad territorial (Caja de previsi_n social. Esap, Sena, ICBF, Cajas de compensaci_n familiar); y gastos generales (compra de materiales y suministros, vi_ticos, gastos de viaje, servicios p_blicos, mantenimiento, seguros y combustibles, entre otros)"
Gastos Totales,Recuperaci_n temprana,,2000-2008,Municipal,"Es el total de Gastos en los que incurri_ la administraci_n territorial, tanto gastos Corrientes como Gastos de Capital"
Ingresos Corrientes,Recuperaci_n temprana,,2000-2008,Municipal,"Corresponden a las estad_sticas registradas y reconocidas por las respectivas contralor_as departamentales o municipales como recaudos efectivos netos, es decir, los ingresos a tesorer_a o bancos deducidas las devoluciones de los ingresos tributarios seg_n la clasificaci_n del presupuesto de la vigencia. Tambi_n, incluye los recursos del Sistema General de Participaciones de libre destinaci_n y otras transferencias corrientes de fuentes diferentes de uso libre, debidamente registradas, reconocidas y efectivas, presupuestadas durante la vigencia."
Ingresos de Capital,Recuperaci_n temprana,,2000-2007,Municipal,"Este rubro esta compuesto por las regal_as, otras transferencias o aportes que deben utilizarse exclusivamente en inversi_n, la venta de activos fijos (edificios, ejidos y terrenos), los recursos de SGP que son de forzosa inversi_n, los recursos de cofinanciaci_n y otros."
Ingresos No tributarios,Recuperaci_n temprana,,2000-2008,Municipal,"Los ingresos no tributarios incluyen otra serie de fuentes de recursos territoriales, tales como venta de bienes y servicios, rentas contractuales, tasas, multas, etc."
Ingresos Totales,Recuperaci_n temprana,,2000-2008,Municipal,"Es el total de Ingresos que percibi_ la administraci_n territorial durante el a_o, tanto ingresos Corrientes como ingresos de Capital"
Ingresos Tributarios,Recuperaci_n temprana,,2000-2008,Municipal,"Los ingresos tributarios son las contribuciones obligatorias al fisco territorial, no recuperables y sin contraprestaci_n directa para el contribuyente. En este grupo se especifican los impuestos de las administraciones territoriales, los cuales para el caso de los departamentos est_ constituido por los impuestos al consumo de licores, cerveza y tabaco, impuesto sobre veh_culos automotores, consumo de gasolina, deg_ello de ganado, entre otros y para el caso de los municipios, por los impuestos predial, industria y comercio, sobretasa a la gasolina y el ACPM, impuesto sobre veh_culos y automotores, deg_ello de ganado y otros."
Ingresos Tributarios -Industria y comercio-,Recuperaci_n temprana,,2000-2008,Municipal,"El Impuesto de Industria y Comercio es un gravamen que recae sobre las actividades comerciales, industriales y de servicios que deben cancelar todos los contribuyentes que ejerzan estas acciones ya sea de manera permanente u ocasional en establecimientos de comercio o si ellos."
Ingresos Tributarios -Otros-,Recuperaci_n temprana,,2000-2008,Municipal,"Ingresos percibidos por concepto de impuestos como la sobretasa del medio ambiente, impuesto de veh_culos automotores, avisos y tableros, sobretasa bomberil, sobretasa de pesas y medidas, sobretasa a la gasolina, impuesto de espect_culos p_blicos, deg_ello de ganado menor, juegos permitidos, extracci_n de materiales, ocupaci_n de v_as, entre otros."
Ingresos Tributarios -Predial-,Recuperaci_n temprana,,2000-2008,Municipal,Ingresos percibidos por el impuesto Predial Unificado que es un gravamen real que recae sobre todos los inmuebles ubicados dentro de la jurisdicci_n territorial correspondiente
Intereses Deuda P_blica,Recuperaci_n temprana,,2000-2008,Municipal,"Incluye el valor cancelado durante la vigencia fiscal por concepto de intereses, comisiones y otros gastos financieros de los cr_ditos contratados por la entidad territorial. No se contemplan aqu_ las amortizaciones a capital, las cuales son una partida del financiamiento."
Porcentaje de Ingresos Corrientes destinados a Funcionamiento,Recuperaci_n temprana,,2004,Municipal,Contraprestaci_n econ_mica que recibe el Estado por la explotaci_n de un recurso natural no renovable cuya producci_n se extingue por el transcurso del tiempo. Las regal_as son un beneficio econ_mico importante para el Estado y sus entidades territoriales.
Regal_as,Recuperaci_n temprana,,2000-2008,Municipal,"Es el saldo de la deuda que tiene la administraci_n territorial, despu_s de los pagos y erogaciones realizadas durante el a_o."
Saldo de Deuda,Recuperaci_n temprana,,2000-2003,Municipal,"Porcentaje de los ingresos corrientes percibidos por la administraci_n territorial que fueron destinados a cubrir los gastos de funcionamiento (servicios personales, transferencias de n_mina y gastos generales)"
Transferencias,Recuperaci_n temprana,,2000-2008,Municipal,Partidas provenientes de otros niveles de gobierno sin contraprestaci_n alguna por parte de la entidad territorial y que pueden utilizarse a voluntad por la entidad territorial ya sea en gastos corrientes o en inversi_n. Se identifican aportes y donaciones.
,,,,,
G_NERO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Ex_menes m_dicos legales por presunto delito sexual a mujeres,No Determinado,Instituto Nacional de Medicina Legal,2004-2012,Municipal,N_mero de Ex_menes m_dicos legales por presunto delito sexual a mujeres
Mujeres Gobernadoras Electas,No Determinado,DANE,2007-2011,Departamental,Mujeres gobernadoras electas
Porcentaje de Alcaldesas electas en el departamento,No Determinado,DANE,2007-2011,Departamental,Porcentaje de alcaldesas electas en el departamento seg_n resultados de elecciones.
Porcentaje de mujeres con nivel de decisi_n en el gobierno,No Determinado,DANE,2005,Departamental,Porcentaje de participaci_n de las mujeres en cargos del nivel de decisi_n en los organismos p_blicos.
Porcentaje de mujeres con nivel de no decisi_n en el gobierno,No Determinado,DANE,2005,Departamental,Porcentaje de participaci_n de las mujeres en cargos que no tienen nivel de decisi_n en los organismos p_blicos.
Porcentaje de mujeres electas a la Asamblea por departamento,No Determinado,DANE,2007-2011,Departamental,Porcentaje de mujeres electas a la Asamblea departamentales
Porcentaje de mujeres electas al Consejo,No Determinado,DANE,2007-2011,Departamental,Porcentaje de mujeres electas al Consejo
Violencia f_sica,No Determinado,Instituto Nacional de Medicina Legal,2005,Departamental,"Tipo de agresi_n derivada por la fuerza f_sica no accidental, dejando como consecuencia efectos traum_ticos de orden psicol_gico o emocional, ocasionando lesiones y en algunos casos la muerte."
Violencia interpersonal a mujeres,No Determinado,Instituto Nacional de Medicina Legal,2005-2012,Municipal,Casos de violencia interpersonal hacia mujeres
Violencia intrafamiliar (mujeres),No Determinado,Instituto Nacional de Medicina Legal,2004-2012,Municipal,"Es la sumatoria de la violencia intrafamiliar a ni_as y adolescentes, violencia de pareja, violencia a persona adulto mayor y violencia entre otros familiares donde la victima es mujer."
Violencia intrafamiliar a adulto mayor (mujeres),No Determinado,Instituto Nacional de Medicina Legal,2004-2012,Municipal,"Violencia al adulto mayor: seg_n la Pol_tica Nacional de Envejecimiento y Vejez del Ministerio de la Protecci_n Social se considera como adulto mayor a mujeres de 60 a_os. Entonces, una definici_n cercana podr_a ser: ?agresi_n f_sica o psicol_gica que puede generar lesi_n, producida a personas mayores de 60 a_os por alg_n miembro de la familia? y podr_a agregarse, con respecto al presunto agresor, cuidadores o cualquier persona que ejerza una relaci_n de poder sobre el adulto mayor."
Violencia intrafamiliar a ni_as y adolescentes (mujeres),No Determinado,Instituto Nacional de Medicina Legal,2004-2012,Municipal,"?Toda acci_n u omisi_n que entorpece el desarrollo integral (f_sico, mental o emocional), de persona menor de 18 a_os (mujeres), causada de forma voluntaria por parte de los padres o adultos responsables, o cualquier persona con quien tenga relaci_n de subordinaci_n, produciendo lesi_n con o sin discapacidad? ."
Violencia intrafamiliar de pareja (mujeres),No Determinado,Instituto Nacional de Medicina Legal,2004-2012,Municipal,"?se define como toda acci_n u omisi_n protagonizada por uno de los miembros que conforman la pareja y que transforma en maltratantes las relaciones entre ellos causando da_o f_sico, emocional, sexual, econ_mico o social? (v_ctimas mujeres). Luego de una revisi_n de los casos conocidos por el INMLCF sobre agresiones entre ex parejas y que se registraban como violencia interpersonal, se pudo establecer que los factores desencadenantes de la agresi_n estaban m_s relacionados con el v_nculo de pareja, motivo por el cual, a partir de 2008, estos casos se consideran como violencia de pareja."
Violencia intrafamiliar entre otros familiares (Mujeres),No Determinado,Instituto Nacional de Medicina Legal,2004-2012,Municipal,"?Lesi_n o muerte producida por alg_n miembro de la familia, diferente a la pareja. Se excluyen los casos de violencia a menores de edad?"
Violencia sexual,No Determinado,Instituto Nacional de Medicina Legal,2005,Departamental,"Se entiende como toda acci_n u omisi_n, voluntaria o involuntaria, protagonizada por un hombre o una mujer, contra otro hombre o mujer, que causando da_o f_sico o emocional, vulnera los derechos sexuales de la otra persona, le impide o limita la satisfacci_n de sus necesidades sexuales e inhibe el pleno desarrollo de su sexualidad"
,,,,,
INDICADOR COMPUESTO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Coeficiente de Gini,Todos,C_lculos MESEP,2002-2010,Departamental,"El_coeficiente_de Gini es un n_mero entre 0 y 1, en donde 0 se corresponde con la perfecta igualdad (todos tienen los mismos ingresos) y donde el valor 1 se corresponde con la perfecta desigualdad (una persona tiene todos los ingresos y los dem_s ninguno)."
Coeficiente de Gini de Propietarios,Todos,C_lculos MESEP,2000-2009,Departamental,"El coeficiente de Gini es un n_mero que mide la desigualdad , esta entre 0 y 1, El Gini de propietarios se calcula con el _rea del terreno en poder de cada uno de los propietarios."
D_ficit Cualitativo de Vivienda,Todos,DANE,2005,Municipal,"hace referencia a las viviendas particulares que presentan carencias habitacionales en los atributos referentes a la estructura, espacio y a la disponibilidad de servicios p_blicos domiciliarios y por tanto, requieren mejoramiento o ampliaci_n de la unidad habitacional en la cual viven."
D_ficit Cuantitativo de Vivienda,Todos,DANE,2005,Municipal,"estima la cantidad de viviendas que la sociedad debe construir o adicionar para que exista una relaci_n uno a uno entre las viviendas adecuadas y los hogares que necesitan alojamiento, es decir, se basa en la comparaci_n entre el n_mero de hogares y el n_mero de viviendas apropiadas existentes."
Gini de Tierras,Todos,Informe Nacional de Desarrollo Humano,2006-2009,Municipal,"El _ndice de Gini fue es una medida de la dispersi_n de una distribuci_n y se utiliza com_nmente para medir la desigualdad de la tierra, para las grandes ciudades no se dispone de Gini de tierras.El Gini de tierras est_ controlados con la calidad de la tierra, usando el n_mero de uaf por predio."
Humanitarian Needs Overview,Todos,OCHA - EHP,2013,Departamental,"Puntaje obtenido del Humanitarian Needs Overview. Calculado a partir de indicadores humanitarios clave por cl_ster e indicadores de caseload. Representa un puntaje de 0 a 5 en t_rminos de necesidades, donde cero (0) es el departamento que menores necesidades humanitarias tiene, mientras que cinco (5) representa el departamentos que cuenta con mayores necesidades"
Incidencia de Pobreza Extrema,Todos,C_lculos MESEP,2002-2011,Departamental,Se obtiene de la divisi_n del n_mero de personas con ingreso inferior al valor de la l_nea de pobreza extrema sobre la poblaci_n total.
Incidencia de Pobreza por Ingresos,Todos,C_lculos MESEP,2002-2010,Departamental,Se obtiene de la divisi_n del n_mero de personas con ingreso inferior al valor de la l_nea de pobreza sobre la poblaci_n total.
_ndice Compromiso Institucional con la Equidad de G_nero,Todos,Olga,2010,Departamental,"""Se construyo el _ndice con las siguientes variables 1. Nivel de institucionalidad. Expresa si existe mecanismo o no de g_nero, y cu_l es el nivel que tiene dentro del organigrama administrativo. 2. Existencia de pol_tica p_blica para la equidad de g_nero. Expresa el compromiso real con la equidad de g_nero, al establecer lineamientos y y compromisos de pol_ticas p_blicas. 3. Cumplimiento de la ley de cuotas. Expresa la voluntad real de la administraci_n con el cumplimiento de la Ley, pero adem_s el reconocimiento al derecho de las mujeres a administrar la ciudad o el departamento.Cada una de estas variables se calificaron de la siguiente manera: 1. Nivel de institucionalidad 1.1.1 Primer nivel: Secretaria: 5 Oficina asesora adscrita al despacho del Alcalde o Gobernador: 4 1.1.2 Segundo nivel: 3 1.1.3 Tercer nivel: 2 1.1.4 Cuarto nivel: 1 1.1.5 Ning_n nivel: 0 2. Existencia pol_tica p_blica para la equidad de genero 2.1.1 Cuenta con pol_tica aprobada:3 2.1.2 Pol_tica en construcci_n:2 2.1.3 Sin pol_tica: 0 3. Cumplimiento de la Ley de Cuotas 3.1.1 Paridad en el gabinete o m_s de 50%: 2 3.1.2 Cumplimiento Ley de cuotas, 30% gabinete integrado por mujeres: 1 3.1.3 No cumple con la Ley de cuotas: 0 La mayor ponderaci_n entre las tres variables la tiene la existencia de pol_tica p_blica para la equidad de g_nero con 40%, pues denota compromiso institucional para dejar lineamientos de cortos y mediano plazo y ruta institucional para el logro de la equidad, las otras dos variables tienen un peso de 30% cada una de tal manera que el _ndice queda expresado de la siguiente manera: ICIEG = 30(NI)+40(PPEG)+30(CLC) En donde: ICIEG es el _ndice de Compromiso institucional con la equidad de g_nero NI. Nivel de institucionalidad PPEG es la pol_tica p_blica para la equidad de g_nero CLC es el cumplimiento con la equidad de g_nero"
Indice de Amenaza,Todos,OCHA - Universidad Santo Tomas,2008-2012,Municipal,Este es un sub_ndice del _ndice de Riego de Situaci_n Humanitaria. Hace referencia a la probabilidad de ocurrencia de un suceso potencialmente desastroso durante cierto periodo de tiempo en un sitio dado.
_ndice de Capacidad Administrativa,Todos,Departamento de Planeaci_n Nacional,2005-2011,Municipal,"El _ndice de capacidad administrativa por municipio, determina la capacidad para soportar los distintos procesos dentro de la administraci_n, teniendo como variables: estabilidad del personal directivo, profesionalizaci_n de la planta, nivel de sistematizaci_n de procesos, contratos por licitaci_n o convocatoria publica, capacidad de interventoria y avance del control interno. El indice se calcula con la siguiente formula: Ica=(Xi/Xmax)*100, donde Ica= Indice escala de 0 a 100, Xi=Valor del indicador i, X max=Valor m_ximo del indicador. Con el promedio de los valores reescalados de los indicadores se obtiene el indicador"
_ndice de Condiciones de Vida,Todos,Departamento de Planeaci_n Nacional,2000-2005,Municipal,"El _ndice de Condiciones de Vida es un indicador del est_ndar de vida que combina variables de acumulaci_n de bienes f_sicos, medido a trav_s de las caracter_sticas de la vivienda y acceso a los servicios p_blicos domiciliarios, con otras que miden el capital humano presente y potencial a trav_s de educaci_n del jefe de hogar y de los mayores de 12 a_os y el acceso de ni_os y j_venes a los servicios escolares. Finalmente, tambi_n se toma en cuenta la composici_n del hogar, como hacinamiento y proporci_n de ni_os menores de 6 a_os en las familias: las variables que lo componen son : Educaci_n y capital humano: 1) Educaci_n alcanzada por el jefe del hogar 2) Educaci_n alcanzada por personas de 12 y m_s a_os 3) J_venes entre 12 y 18 a_os que asisten a secundaria o universidad 4) Ni_os entre 5 y 11 a_os en el hogar que asisten a un establecimiento educativo Calidad de la vivienda: 5) Material de las paredes 6) Material de los pisos Acceso y calidad de los servicios: 7) Abastecimiento de agua (acueducto) 8) Con qu_ cocinan 9) Recolecci_n de basuras 10) Servicio sanitario Tama_o y composici_n del hogar 11) Ni_os de 6 o menos a_os en el hogar 12) N_mero de personas por cuarto"
_ndice de Desarrollo Humano,Todos,Informe Nacional de Desarrollo Humano,2000-2010,Municipal,"El IDH es una medida sin_ptica del desarrollo humano. Mide el promedio de los logros de un pa_s en tres dimensiones b_sicas del desarrollo humano: 1. Una vida larga y saludable, medida por la expectativa de vida al nacer. 2. El conocimiento, medido por la tasa de alfabetizaci_n de adultos (con una ponderaci_n de dos tercios) y la tasa bruta combinada de matriculaci_n en escuelas primarias, secundarias y terciarias (con una ponderaci_n de un tercio). 3. Un nivel de vida digno, medido por el PIB per c_pita en t_rminos de paridad del poder adquisitivo (PPA) en d_lares estadounidenses."
_ndice de Desarrollo Humano Ajustado por Violencia y Concentraci_n de la propiedad,Todos,Informe Nacional de Desarrollo Humano,2000-2008,Municipal,"A trav_s de la metodolog_a utilizada por el INDH, se ajust_ el Indice de Desarrollo Humano para determinar el impacto negativo de la violencia y de la concentraci_n de la tierra en el desarrollo humano, incorporado en su c_lculo los siguientes elementos: Intensidad de Desplazamiento, Intensidad de los homicidios, el _ndice de violencia y el _ndice de concentraci_n de tierra (Gini de Tierra)."
Indice de Desarrollo Relativo al G_nero,Todos,Informe Nacional de Desarrollo Humano,2000-2009,Departamental,"El IDG ajusta el promedio de logro para reflejar las desigualdades entre hombres y mujeres en las siguientes dimensiones: ? Una vida larga y saludable, medida por la expectativa de vida al nacer. ? Conocimiento, medido por la tasa de alfabetizaci_n de adultos y la tasa bruta combinada de matriculaci_n en escuelas primarias, secundarias y terciarias. ? Un nivel de vida digno, medido por los ingresos percibidos estimados (PPA en US$)."
_ndice de Desempe_o Fiscal,Todos,Departamento de Planeaci_n Nacional,2001-2011,Municipal,Indicador para medir el desempe_o en la eficiencia en la administraci_n compuesto por los siguientes indicadores: 1) Porcentaje de ingresos corrientes destinados a funcionamiento; 2) Magnitud de la deuda; 3) Porcentaje de ingresos que corresponden a transferencias; 4) Porcentaje de ingresos que corresponden a recursos propios; 5) Porcentaje del gasto total destinado a inversi_n; 6) Capacidad de ahorro.
_ndice de Desempe_o Integral,Todos,Departamento de Planeaci_n Nacional,2006-2011,Municipal,"Mide el desempe_o de las administraciones municipales, ponderaci_n igual de los _ndices de Eficacia, Eficiencia, Requisitos legales y _ndice de gesti_n."
_ndice de Eficacia,Todos,Departamento de Planeaci_n Nacional,2005-2011,Municipal,"Se define como el grado de consecuci_n de los objetivos y las metas del Plan de Desarrollo; entre mayor sea el grado de cumplimiento en las metas trazadas, mayor ser_ el nivel de eficacia obtenido"
_ndice de Gesti_n,Todos,Departamento de Planeaci_n Nacional,2006-2011,Municipal,"Mide la capacidad administrativa, financiera y sectorial."
_ndice de la Eficiencia,Todos,Departamento de Planeaci_n Nacional,2005-2011,Municipal,"Se define como la medida de desempe_o en la gesti_n de los servicios de educaci_n, salud y agua potable"
